stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
266,3817,"Islington Ave at Milady Rd",,43.752433,-79.568510,,,,,,1
267,2249,"Eglinton Ave East at Birchmount Rd",,43.729763,-79.278137,,,,,,1
268,9473,"Ellesmere Rd at Military Trail (East)",,43.786690,-79.188167,,,,,,1
269,2707,"Humberline Dr at Huddersfield Rd",,43.743504,-79.620840,,,,,,1
270,7547,"Birchmount Rd at Danforth Ave",,43.696844,-79.263822,,,,,,1
271,4405,"Lansdowne Ave at Lappin Ave",,43.665163,-79.445918,,,,,,1
273,1829,"Cummer Ave at Yonge St",,43.787300,-79.416321,,,,,,1
274,1756,"Broadview Ave at Dundas St East",,43.662600,-79.351506,,,,,,2
275,5975,"Ossington Ave at Leeds St South Side",,43.663872,-79.426518,,,,,,1
276,1401,"Neilson Rd at Sheppard Ave East",,43.798278,-79.217892,,,,,,1
277,2886,"McNicoll Ave at Don Mills Rd",,43.799670,-79.353848,,,,,,1
278,5399,"Lawrence Ave West at Roxaline St",,43.696704,-79.529765,,,,,,2
279,6119,"St Clair Ave East at Mt Pleasant Rd West Side",,43.690306,-79.383911,,,,,,1
280,6270,"Brown's Line at Horner Ave",,43.601827,-79.545430,,,,,,1
281,5857,"375 Norfinch Dr",,43.770165,-79.531686,,,,,,1
283,3319,"Beechgrove Dr at Dunstall Cres",,43.772505,-79.160886,,,,,,2
284,622,"Brimley Rd at Dallyn Cres",,43.741205,-79.250390,,,,,,1
285,8772,"Weston Rd at Toryork Dr",,43.753493,-79.542887,,,,,,1
287,1086,"Gerrard St East at De Grassi St",,43.666410,-79.348419,,,,,,2
288,3454,"Coronation Dr at Manse Rd",,43.764520,-79.173148,,,,,,1
289,3269,"Albion Rd at Carrier Dr",,43.745580,-79.614010,,,,,,1
290,7660,"Dufferin St at Supertest Rd",,43.777829,-79.468955,,,,,,1
292,4423,"Lawrence Ave East at Morningside Ave",,43.768210,-79.186546,,,,,,1
293,1747,"The Bridle Path at Park Lane Cir",,43.730749,-79.361238,,,,,,1
